id|name|brand|details|price|size|is_by_weight
2047|LIMA LIMON CON GAS FRESH| SPRITE|https://www.telecompra.mercadona.es/detall_producte.php?id=26990|1.3| BOTELLA 2 L|false
2048|LIMA LIMON CON GAS FRESH| SPRITE|https://www.telecompra.mercadona.es/detall_producte.php?id=28176|3.68| LATA PACK 8 X 330 ML - 2640 ML|false
2049|LIMA LIMON CON GAS FRESH| SPRITE|https://www.telecompra.mercadona.es/detall_producte.php?id=27845|0.49| LATA 330 ML|false
2050|LIMA LIMON CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29050|0.33| LATA 330 ML|false
2051|LIMA LIMON CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29049|1.98| LATA PACK 6 X 330 ML - 1980 ML|false
2052|LIMA LIMON CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29064|0.75| BOTELLA 2 L|false
2053|LIMA LIMON CON GAS| 7 UP|https://www.telecompra.mercadona.es/detall_producte.php?id=22112|4.05| LATA PACK 9 X 330 ML - 2970 ML|false
2054|LIMA LIMON CON GAS| 7UP|https://www.telecompra.mercadona.es/detall_producte.php?id=27770|0.5| LATA 330 ML|false
2055|LIMA LIMON CON GAS| 7UP|https://www.telecompra.mercadona.es/detall_producte.php?id=27763|1.38| BOTELLA 2 L|false
2056|LIMA LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29079|0.7| BOTELLA 2 L|false
2057|LIMA LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29048|0.32| LATA 330 ML|false
2108|REFRESCO TE LIMON| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27827|0.75| BOTELLA 1500 ML|false
2058|LIMA LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29047|1.92| LATA PACK 6 X 330 ML - 1980 ML|false
2059|LIMON CON GAS 6% ZUMO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29077|0.7| BOTELLA 2 L|false
2060|LIMON CON GAS ZERO| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27608|0.5| LATA 330 ML|false
2061|LIMON CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29046|0.33| LATA 330 ML|false
2062|LIMON CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29078|0.75| BOTELLA 2 L|false
2063|LIMON CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29045|1.98| LATA PACK 6 X 330 ML - 1980 ML|false
2064|LIMON CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27610|1.29| BOTELLA 2 L|false
2065|LIMON CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27602|0.58| LATA 330 ML|false
2066|LIMON CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=13817|4.95| LATA PACK 9 X 330 ML - 2970 ML|false
2067|LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29065|0.48| BOTELLA 500 ML|false
2068|LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29043|1.92| LATA PACK 6 X 330 ML - 1980 ML|false
2069|LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29044|0.32| LATA 330 ML|false
